A,gen,profits,revenues,costs,Y1,Y2,L1,L2,D1,D2,G1,G2,pD,pG1,pG2,YB
2.5,0.,0.004657711710841122,0.013961754757652954,0.00930404304681183,0.007881746253524172,0.0015170652523772764,0.008590289889003674,0.0016534371223295447,5.960606060569329e-7,5.960606060569329e-7,0.007013959005833222,0.0013500424400935882,0.15,0.5,0.5,9.986038245242336
3.,0.,0.010381317679945386,0.03108075936622228,0.0206994416862769,0.03702304303480751,0.,0.030325125961156132,1.7181818194091213e-7,5.960606074242805e-7,5.960606074242805e-7,0.05536613978425633,0.,0.15,0.1,1.e10,9.968919239699575
3.,1.,-0.02982686826573018,0.06027755897253074,0.09010442723826093,0.06071004908369671,0.009806999819013567,0.049726893062822665,0.008515659586323745,1.8216887180137734e-6,0.012694562213241346,0.09078693328393812,0.,0.15,0.1,1.e10,9.93972243821598
3.,0.,0.006703066809485117,0.02008390049962998,0.013380833690144863,0.011335471413853668,0.0021817349723462927,0.012354497856147813,0.0023778592867087322,5.960606060569329e-7,5.960606060569329e-7,0.01008742194085964,0.0019415306602099081,0.15,0.5,0.5,9.979916099500366
3.5,0.,0.01411438688726245,0.04222530028562519,0.028110913398362736,0.050279378622149706,0.,0.041183244901461545,1.7181818194091213e-7,5.960606074242805e-7,5.960606074242805e-7,0.07519026220358767,0.,0.15,0.1,1.e10,9.957774699031006
3.5,1.,-0.02260168701847417,0.08174834295038855,0.10435002996886272,0.08227520100985944,0.013290471251708718,0.0673906721409038,0.011540455853859391,1.8181502252989924e-6,0.017203662563147808,0.12303643864475147,0.,0.15,0.1,1.e10,9.918251654989376
3.5,0.,0.00911707294652789,0.02730305794822001,0.018185985001692124,0.015406240173280131,0.0029651547871724147,0.01679122037610859,0.0032317069358160392,5.960606060569329e-7,5.960606060569329e-7,0.013709990708904237,0.002638694346191745,0.15,0.5,0.5,9.972696942051778
4.,0.,0.01841140997196653,0.05503291796274655,0.03662150799078001,0.06550163168435044,0.,0.05365162527475021,1.7181818194091213e-7,5.960606074242805e-7,5.960606074242805e-7,0.09795430626131713,0.,0.15,0.1,1.e10,9.944967081514454
4.,1.,-0.014303675809469965,0.10633119967451417,0.12063487548398413,0.10692738102009249,0.01727259804989005,0.08758300208699211,0.014998248639519698,1.8158530731200671e-6,0.02235823589893222,0.15990242357927428,0.,0.15,0.1,1.e10,9.89366879874637
4.,0.,0.011898126845533513,0.035611271271830405,0.023713144426296892,0.02008866976072796,0.003866290084036145,0.021894590793758228,0.004213852538151288,5.960606074242805e-7,5.960606074242805e-7,0.017876875177002965,0.0034406127073168496,0.15,0.5,0.5,9.96438872410777
4.5,0.,0.023268014008979813,0.06948203323938343,0.04621401923040362,0.08265902674127507,0.,0.0677050592188023,1.7181818194091213e-7,5.960606074242805e-7,5.960606074242805e-7,0.12361224893729272,0.,0.15,0.1,1.e10,9.93051796634744
4.5,1.,-0.004948939542748526,0.13394763480713887,0.1388965743498874,0.13457214340111978,0.02173812409924364,0.11022652343283523,0.018875790619296978,1.8142778541102982e-6,0.02813853432593464,0.20124365033252964,0.,0.15,0.1,1.e10,9.86605236394054
4.5,0.,0.015044388175431888,0.04499939572916109,0.0299550075537292,0.025376574565113327,0.004883947521232227,0.027657867388821172,0.005322995269264076,5.960606074242805e-7,5.960606074242805e-7,0.02258257081798596,0.004346223995022744,0.15,0.5,0.5,9.955000600687768
5.,0.,0.028679288186381727,0.08554850521673682,0.05686921703035511,0.10171716839954974,0.,0.08331537335027588,1.7181818194091213e-7,5.960606074242822e-7,5.960606074242822e-7,0.15211265627943965,0.,0.15,0.1,1.e10,9.914451494055802
5.,1.,0.005444589109352957,0.16451086608523136,0.15906627697587838,0.16510526293603306,0.026670213607536658,0.1352358664361261,0.023158462794689683,1.813150876945382e-6,0.03452276515706151,0.24690425614279732,0.,0.15,0.1,1.e10,9.835489132897292
5.,0.,0.018553783536491265,0.05545718858518115,0.036903405048689886,0.031263032336635584,0.006016796644017573,0.03407350563585944,0.006557685189949187,5.960606074242805e-7,5.960606074242805e-7,0.027820917515536708,0.00535434411966998,0.15,0.5,0.5,9.944542808538271
5.5,0.,0.03463980004619395,0.10320572741067786,0.06856592736448391,0.12263818428952303,0.,0.10045154786423088,1.7181818194091213e-7,5.960606074242822e-7,5.960606074242822e-7,0.18339888705095278,0.,0.15,0.1,1.e10,9.896794271903078
5.5,1.,0.01685726004171756,0.1979265569110164,0.18106929686929885,0.19841367841043228,0.032050603504965317,0.16251842389095128,0.027830406825979006,1.8123169369599416e-6,0.0414872881847153,0.2967151643558586,0.,0.15,0.1,1.e10,9.80207344224477
5.5,0.,0.022424010982574,0.0669732945900739,0.04454928360749989,0.03774037345238468,0.00726336138135292,0.04113314642824896,0.007916313529966782,5.960606074242805e-7,5.960606074242805e-7,0.033585090088309406,0.006463659532110183,0.15,0.5,0.5,9.933026703042172
6.,0.,0.04114361322815355,0.12242476912334295,0.0812811558951894,0.1453809461889353,0.,0.11907989467282576,1.7181818194091213e-7,5.960606074242822e-7,5.960606074242822e-7,0.21740943831503323,0.,0.15,0.1,1.e10,9.877575230407098
6.,1.,0.02926782383802623,0.2340935916346097,0.20482576779658346,0.2343764874526423,0.037859764123966154,0.19197516598801107,0.03287466455121424,1.8116825962073815e-6,0.04900682368183584,0.35049557222305994,0.,0.15,0.1,1.e10,9.765906407652787
6.,0.,0.02665254497154607,0.07953529258386008,0.05288274761231401,0.04480021468538,0.008622028356165563,0.048827652903890274,0.009397121871285113,5.960606074242805e-7,5.960606074242805e-7,0.03986762832002262,0.007672734493065557,0.15,0.5,0.5,9.92046470542951
6.5,0.,0.048184306611610384,0.1431744929829992,0.0949901863713888,0.1699012460198854,0.,0.13916420319903247,1.7181818194091213e-7,5.960606074242822e-7,5.960606074242822e-7,0.2540782004459937,0.,0.15,0.1,1.e10,9.856825506670516
6.5,1.,0.04265355624059529,0.27290488077983344,0.23025132453923813,0.2728659770710152,0.044077065665175455,0.22350148441535383,0.03827332253370383,1.8111888930527227e-6,0.05705466787859061,0.40805449204586774,0.,0.15,0.1,1.e10,9.727095118609919
6.5,0.,0.031236641756989855,0.09312973220345618,0.06189309044646632,0.052433485747151655,0.010091051977691263,0.05714713937385633,0.010998207697206748,5.960606074242805e-7,5.960606074242805e-7,0.046660460579704986,0.008980015605800118,0.15,0.5,0.5,9.906870266103912
7.,0.,0.055754994721700674,0.16542169009788435,0.10966669537618366,0.19615200108925096,0.,0.16066590856995844,1.7181818194091213e-7,5.960606074242822e-7,5.960606074242822e-7,0.2933347636393125,0.,0.15,0.1,1.e10,9.834578309632814
7.,1.,0.05699038751067814,0.3142481844592265,0.25725779694854833,0.31374867432455605,0.05068094791289451,0.25698805295057003,0.04400765943042097,1.8107971317450633e-6,0.065602912647725,0.4691923224132433,0.,0.15,0.1,1.e10,9.685751815011711
7.,0.,0.036173345191070884,0.10774217324062327,0.07156882804955239,0.06063045771954312,0.011668559907188238,0.06608100231012229,0.012717530349044381,5.960606074242805e-7,5.960606074242805e-7,0.05395492912313168,0.01038383668044197,0.15,0.5,0.5,9.892257825298806
7.5,0.,0.06384834926293054,0.18913122467923374,0.12528287541630317,0.22408347424941066,0.,0.18354427165690085,1.7181818194091213e-7,5.960606074242822e-7,5.960606074242822e-7,0.33510474860579564,0.,0.15,0.1,1.e10,9.810868775103351
